[0][0]: 1.250000, 3FA00000
[24][21]: 46.250000, 42390000
[24][22]: 47.250000, 423D0000
[24][23]: 48.250000, 42410000
[24][24]: 49.250000, 42450000
[24][25]: 50.250000, 42490000
[24][26]: 51.250000, 424D0000
[24][27]: 52.250000, 42510000
[24][28]: 53.250000, 42550000
[24][29]: 54.250000, 42590000
[24][30]: 55.250000, 425D0000
[24][31]: 56.250000, 42610000
[25][0]: 26.250000, 41D20000
[25][1]: 27.250000, 41DA0000
[25][2]: 28.250000, 41E20000
[25][3]: 29.250000, 41EA0000
[25][4]: 30.250000, 41F20000
[25][5]: 31.250000, 41FA0000
[25][6]: 32.250000, 42010000
[25][7]: 33.250000, 42050000
[25][8]: 34.250000, 42090000
[25][9]: 35.250000, 420D0000
[25][10]: 36.250000, 42110000
[25][11]: 37.250000, 42150000
[25][12]: 38.250000, 42190000
[25][13]: 39.250000, 421D0000
[25][14]: 40.250000, 42210000
[25][15]: 41.250000, 42250000
[25][16]: 42.250000, 42290000
[25][17]: 43.250000, 422D0000
[25][18]: 44.250000, 42310000
[25][19]: 45.250000, 42350000
[25][20]: 46.250000, 42390000
[25][21]: 47.250000, 423D0000
[25][22]: 48.250000, 42410000
[25][23]: 49.250000, 42450000
[25][24]: 50.250000, 42490000
[25][25]: 51.250000, 424D0000
[25][26]: 52.250000, 42510000
[25][27]: 53.250000, 42550000
[25][28]: 54.250000, 42590000
[25][29]: 55.250000, 425D0000
[25][30]: 56.250000, 42610000
[25][31]: 57.250000, 42650000
[26][0]: 27.250000, 41DA0000
[26][1]: 28.250000, 41E20000
[26][2]: 29.250000, 41EA0000
[26][3]: 30.250000, 41F20000
[26][4]: 31.250000, 41FA0000
[26][5]: 32.250000, 42010000
[26][6]: 33.250000, 42050000
[26][7]: 34.250000, 42090000
[26][8]: 35.250000, 420D0000
[26][9]: 36.250000, 42110000
[26][10]: 37.250000, 42150000
[26][11]: 38.250000, 42190000
[26][12]: 39.250000, 421D0000
[26][13]: 40.250000, 42210000
[26][14]: 41.250000, 42250000
[26][15]: 42.250000, 42290000
[26][16]: 43.250000, 422D0000
[26][17]: 44.250000, 42310000
[26][18]: 45.250000, 42350000
[26][19]: 46.250000, 42390000
[26][20]: 47.250000, 423D0000
[26][21]: 48.250000, 42410000
[26][22]: 49.250000, 42450000
[26][23]: 50.250000, 42490000
[26][24]: 51.250000, 424D0000
[26][25]: 52.250000, 42510000
[26][26]: 53.250000, 42550000
[26][27]: 54.250000, 42590000
[26][28]: 55.250000, 425D0000
[26][29]: 56.250000, 42610000
[26][30]: 57.250000, 42650000
[26][31]: 58.250000, 42690000
[27][0]: 28.250000, 41E20000
[27][1]: 29.250000, 41EA0000
[27][2]: 30.250000, 41F20000
[27][3]: 31.250000, 41FA0000
[27][4]: 32.250000, 42010000
[27][5]: 33.250000, 42050000
[27][6]: 34.250000, 42090000
[27][7]: 35.250000, 420D0000
[27][8]: 36.250000, 42110000
[27][9]: 37.250000, 42150000
[27][10]: 38.250000, 42190000
[27][11]: 39.250000, 421D0000
[27][12]: 40.250000, 42210000
[27][13]: 41.250000, 42250000
[27][14]: 42.250000, 42290000
[27][15]: 43.250000, 422D0000
[27][16]: 44.250000, 42310000
[27][17]: 45.250000, 42350000
[27][18]: 46.250000, 42390000
[27][19]: 47.250000, 423D0000
[27][20]: 48.250000, 42410000
[27][21]: 49.250000, 42450000
[27][22]: 50.250000, 42490000
[27][23]: 51.250000, 424D0000
[27][24]: 52.250000, 42510000
[27][25]: 53.250000, 42550000
[27][26]: 54.250000, 42590000
[27][27]: 55.250000, 425D0000
[27][28]: 56.250000, 42610000
[27][29]: 57.250000, 42650000
[27][30]: 58.250000, 42690000
[27][31]: 59.250000, 426D0000
[28][0]: 29.250000, 41EA0000
[28][1]: 30.250000, 41F20000
[28][2]: 31.250000, 41FA0000
[28][3]: 32.250000, 42010000
[28][4]: 33.250000, 42050000
[28][5]: 34.250000, 42090000
[28][6]: 35.250000, 420D0000
[28][7]: 36.250000, 42110000
[28][8]: 37.250000, 42150000
[28][9]: 38.250000, 42190000
[28][10]: 39.250000, 421D0000
[28][11]: 40.250000, 42210000
[28][12]: 41.250000, 42250000
[28][13]: 42.250000, 42290000
[28][14]: 43.250000, 422D0000
[28][15]: 44.250000, 42310000
[28][16]: 45.250000, 42350000
[28][17]: 46.250000, 42390000
[28][18]: 47.250000, 423D0000
[28][19]: 48.250000, 42410000
[28][20]: 49.250000, 42450000
[28][21]: 50.250000, 42490000
[28][22]: 51.250000, 424D0000
[28][23]: 52.250000, 42510000
[28][24]: 53.250000, 42550000
[28][25]: 54.250000, 42590000
[28][26]: 55.250000, 425D0000
[28][27]: 56.250000, 42610000
[28][28]: 57.250000, 42650000
[28][29]: 58.250000, 42690000
[28][30]: 59.250000, 426D0000
[28][31]: 60.250000, 42710000
[29][0]: 30.250000, 41F20000
[29][1]: 31.250000, 41FA0000
[29][2]: 32.250000, 42010000
[29][3]: 33.250000, 42050000
[29][4]: 34.250000, 42090000
[29][5]: 35.250000, 420D0000
[29][6]: 36.250000, 42110000
[29][7]: 37.250000, 42150000
[29][8]: 38.250000, 42190000
[29][9]: 39.250000, 421D0000
[29][10]: 40.250000, 42210000
[29][11]: 41.250000, 42250000
[29][12]: 42.250000, 42290000
[29][13]: 43.250000, 422D0000
[29][14]: 44.250000, 42310000
[29][15]: 45.250000, 42350000
[29][16]: 46.250000, 42390000
[29][17]: 47.250000, 423D0000
[29][18]: 48.250000, 42410000
[29][19]: 49.250000, 42450000
[29][20]: 50.250000, 42490000
[29][21]: 51.250000, 424D0000
[29][22]: 52.250000, 42510000
[29][23]: 53.250000, 42550000
[29][24]: 54.250000, 42590000
[29][25]: 55.250000, 425D0000
[29][26]: 56.250000, 42610000
[29][27]: 57.250000, 42650000
[29][28]: 58.250000, 42690000
[29][29]: 59.250000, 426D0000
[29][30]: 60.250000, 42710000
[29][31]: 61.250000, 42750000
[30][0]: 31.250000, 41FA0000
[30][1]: 32.250000, 42010000
[30][2]: 33.250000, 42050000
[30][3]: 34.250000, 42090000
[30][4]: 35.250000, 420D0000
[30][5]: 36.250000, 42110000
[30][6]: 37.250000, 42150000
[30][7]: 38.250000, 42190000
[30][8]: 39.250000, 421D0000
[30][9]: 40.250000, 42210000
[30][10]: 41.250000, 42250000
[30][11]: 42.250000, 42290000
[30][12]: 43.250000, 422D0000
[30][13]: 44.250000, 42310000
[30][14]: 45.250000, 42350000
[30][15]: 46.250000, 42390000
[30][16]: 47.250000, 423D0000
[30][17]: 48.250000, 42410000
[30][18]: 49.250000, 42450000
[30][19]: 50.250000, 42490000
[30][20]: 51.250000, 424D0000
[30][21]: 52.250000, 42510000
[30][22]: 53.250000, 42550000
[30][23]: 54.250000, 42590000
[30][24]: 55.250000, 425D0000
[30][25]: 56.250000, 42610000
[30][26]: 57.250000, 42650000
[30][27]: 58.250000, 42690000
[30][28]: 59.250000, 426D0000
[30][29]: 60.250000, 42710000
[30][30]: 61.250000, 42750000
[30][31]: 62.250000, 42790000
[31][0]: 32.250000, 42010000
[31][1]: 33.250000, 42050000
[31][2]: 34.250000, 42090000
[31][3]: 35.250000, 420D0000
[31][4]: 36.250000, 42110000
[31][5]: 37.250000, 42150000
[31][6]: 38.250000, 42190000
[31][7]: 39.250000, 421D0000
[31][8]: 40.250000, 42210000
[31][9]: 41.250000, 42250000
[31][10]: 42.250000, 42290000
[31][11]: 43.250000, 422D0000
[31][12]: 44.250000, 42310000
[31][13]: 45.250000, 42350000
[31][14]: 46.250000, 42390000
[31][15]: 47.250000, 423D0000
[31][16]: 48.250000, 42410000
[31][17]: 49.250000, 42450000
[31][18]: 50.250000, 42490000
[31][19]: 51.250000, 424D0000
[31][20]: 52.250000, 42510000
[31][21]: 53.250000, 42550000
[31][22]: 54.250000, 42590000
[31][23]: 55.250000, 425D0000
[31][24]: 56.250000, 42610000
[31][25]: 57.250000, 42650000
[31][26]: 58.250000, 42690000
[31][27]: 59.250000, 426D0000
[31][28]: 60.250000, 42710000
[31][29]: 61.250000, 42750000
[31][30]: 62.250000, 42790000
[31][31]: 63.250000, 427D0000
[0][0]: 2.127500, 400828F6
[0][1]: 3.127500, 404828F6
[0][2]: 4.127500, 4084147B
[0][3]: 5.127500, 40A4147B
[0][4]: 6.127500, 40C4147B
[0][5]: 7.127500, 40E4147B
[0][6]: 8.127500, 41020A3D
[0][7]: 9.127500, 41120A3D
[0][8]: 10.127500, 41220A3D
[0][9]: 11.127500, 41320A3D
[0][10]: 12.127500, 41420A3D
[0][11]: 13.127500, 41520A3D
[0][12]: 14.127500, 41620A3D
[0][13]: 15.127500, 41720A3D
[0][14]: 16.127501, 4181051F
[0][15]: 17.127501, 4189051F
[0][16]: 18.127501, 4191051F
[0][17]: 19.127501, 4199051F
[0][18]: 20.127501, 41A1051F
[0][19]: 21.127501, 41A9051F
[0][20]: 22.127501, 41B1051F
[0][21]: 23.127501, 41B9051F
[0][22]: 24.127501, 41C1051F
[0][23]: 25.127501, 41C9051F
[0][24]: 26.127501, 41D1051F
[0][25]: 27.127501, 41D9051F
[0][26]: 28.127501, 41E1051F
[0][27]: 29.127501, 41E9051F
[0][28]: 30.127501, 41F1051F
[0][29]: 31.127501, 41F9051F
[0][30]: 32.127499, 4200828F
[0][31]: 33.127499, 4204828F
[1][0]: 3.127500, 404828F6
[1][1]: 4.127500, 4084147B
[1][2]: 5.127500, 40A4147B
[1][3]: 6.127500, 40C4147B
[1][4]: 7.127500, 40E4147B
[1][5]: 8.127500, 41020A3D
[1][6]: 9.127500, 41120A3D
[1][7]: 10.127500, 41220A3D
[1][8]: 11.127500, 41320A3D
[1][9]: 12.127500, 41420A3D
[1][10]: 13.127500, 41520A3D
[1][11]: 14.127500, 41620A3D
[1][12]: 15.127500, 41720A3D
[1][13]: 16.127501, 4181051F
[1][14]: 17.127501, 4189051F
[1][15]: 18.127501, 4191051F
[1][16]: 19.127501, 4199051F
[1][17]: 20.127501, 41A1051F
[1][18]: 21.127501, 41A9051F
[1][19]: 22.127501, 41B1051F
[1][20]: 23.127501, 41B9051F
[1][21]: 24.127501, 41C1051F
[1][22]: 25.127501, 41C9051F
[1][23]: 26.127501, 41D1051F
[1][24]: 27.127501, 41D9051F
[1][25]: 28.127501, 41E1051F
[1][26]: 29.127501, 41E9051F
[1][27]: 30.127501, 41F1051F
[1][28]: 31.127501, 41F9051F
[1][29]: 32.127499, 4200828F
[1][30]: 33.127499, 4204828F
[1][31]: 34.127499, 4208828F
[2][0]: 4.127500, 4084147B
[2][1]: 5.127500, 40A4147B
[2][2]: 6.127500, 40C4147B
[2][3]: 7.127500, 40E4147B
[2][4]: 8.127500, 41020A3D
[2][5]: 9.127500, 41120A3D
[2][6]: 10.127500, 41220A3D
[2][7]: 11.127500, 41320A3D
[2][8]: 12.127500, 41420A3D
[2][9]: 13.127500, 41520A3D
[2][10]: 14.127500, 41620A3D
[2][11]: 15.127500, 41720A3D
[2][12]: 16.127501, 4181051F
[2][13]: 17.127501, 4189051F
[2][14]: 18.127501, 4191051F
[2][15]: 19.127501, 4199051F
[2][16]: 20.127501, 41A1051F
[2][17]: 21.127501, 41A9051F
[2][18]: 22.127501, 41B1051F
[2][19]: 23.127501, 41B9051F
[2][20]: 24.127501, 41C1051F
[2][21]: 25.127501, 41C9051F
[2][22]: 26.127501, 41D1051F
[2][23]: 27.127501, 41D9051F
[2][24]: 28.127501, 41E1051F
[2][25]: 29.127501, 41E9051F
[2][26]: 30.127501, 41F1051F
[2][27]: 31.127501, 41F9051F
[2][28]: 32.127499, 4200828F
[2][29]: 33.127499, 4204828F
[2][30]: 34.127499, 4208828F
[2][31]: 35.127499, 420C828F
[3][0]: 5.127500, 40A4147B
[3][1]: 6.127500, 40C4147B
[3][2]: 7.127500, 40E4147B
[3][3]: 8.127500, 41020A3D
[3][4]: 9.127500, 41120A3D
[3][5]: 10.127500, 41220A3D
[3][6]: 11.127500, 41320A3D
[3][7]: 12.127500, 41420A3D
[3][8]: 13.127500, 41520A3D
[3][9]: 14.127500, 41620A3D
[3][10]: 15.127500, 41720A3D
[3][11]: 16.127501, 4181051F
[3][12]: 17.127501, 4189051F
[3][13]: 18.127501, 4191051F
[3][14]: 19.127501, 4199051F
[3][15]: 20.127501, 41A1051F
[3][16]: 21.127501, 41A9051F
[3][17]: 22.127501, 41B1051F
[3][18]: 23.127501, 41B9051F
[3][19]: 24.127501, 41C1051F
[3][20]: 25.127501, 41C9051F
[3][21]: 26.127501, 41D1051F
[3][22]: 27.127501, 41D9051F
[3][23]: 28.127501, 41E1051F
[3][24]: 29.127501, 41E9051F
[3][25]: 30.127501, 41F1051F
[3][26]: 31.127501, 41F9051F
[3][27]: 32.127499, 4200828F
[3][28]: 33.127499, 4204828F
[3][29]: 34.127499, 4208828F
[3][30]: 35.127499, 420C828F
[3][31]: 36.127499, 4210828F
[4][0]: 6.127500, 40C4147B
[4][1]: 7.127500, 40E4147B
[4][2]: 8.127500, 41020A3D
[4][3]: 9.127500, 41120A3D
[4][4]: 10.127500, 41220A3D
[4][5]: 11.127500, 41320A3D
[4][6]: 12.127500, 41420A3D
[4][7]: 13.127500, 41520A3D
[4][8]: 14.127500, 41620A3D
[4][9]: 15.127500, 41720A3D
[4][10]: 16.127501, 4181051F
[4][11]: 17.127501, 4189051F
[4][12]: 18.127501, 4191051F
[4][13]: 19.127501, 4199051F
[4][14]: 20.127501, 41A1051F
[4][15]: 21.127501, 41A9051F
[4][16]: 22.127501, 41B1051F
[4][17]: 23.127501, 41B9051F
[4][18]: 24.127501, 41C1051F
[4][19]: 25.127501, 41C9051F
[4][20]: 26.127501, 41D1051F
[4][21]: 27.127501, 41D9051F
[4][22]: 28.127501, 41E1051F
[4][23]: 29.127501, 41E9051F
[4][24]: 30.127501, 41F1051F
[4][25]: 31.127501, 41F9051F
[4][26]: 32.127499, 4200828F
[4][27]: 33.127499, 4204828F
[4][28]: 34.127499, 4208828F
[4][29]: 35.127499, 420C828F
[4][30]: 36.127499, 4210828F
[4][31]: 37.127499, 4214828F
[5][0]: 7.127500, 40E4147B
[5][1]: 8.127500, 41020A3D
[5][2]: 9.127500, 41120A3D
[5][3]: 10.127500, 41220A3D
[5][4]: 11.127500, 41320A3D
[5][5]: 12.127500, 41420A3D
[5][6]: 13.127500, 41520A3D
[5][7]: 14.127500, 41620A3D
[5][8]: 15.127500, 41720A3D
[5][9]: 16.127501, 4181051F
[5][10]: 17.127501, 4189051F
[5][11]: 18.127501, 4191051F
[5][12]: 19.127501, 4199051F
[5][13]: 20.127501, 41A1051F
[5][14]: 21.127501, 41A9051F
[5][15]: 22.127501, 41B1051F
[5][16]: 23.127501, 41B9051F
[5][17]: 24.127501, 41C1051F
[5][18]: 25.127501, 41C9051F
[5][19]: 26.127501, 41D1051F
[5][20]: 27.127501, 41D9051F
[5][21]: 28.127501, 41E1051F
[5][22]: 29.127501, 41E9051F
[5][23]: 30.127501, 41F1051F
[5][24]: 31.127501, 41F9051F
[5][25]: 32.127499, 4200828F
[5][26]: 33.127499, 4204828F
[5][27]: 34.127499, 4208828F
[5][28]: 35.127499, 420C828F
[5][29]: 36.127499, 4210828F
[5][30]: 37.127499, 4214828F
[5][31]: 38.127499, 4218828F
[6][0]: 8.127500, 41020A3D
[6][1]: 9.127500, 41120A3D
[6][2]: 10.127500, 41220A3D
[6][3]: 11.127500, 41320A3D
[6][4]: 12.127500, 41420A3D
[6][5]: 13.127500, 41520A3D
[6][6]: 14.127500, 41620A3D
[6][7]: 15.127500, 41720A3D
[6][8]: 16.127501, 4181051F
[6][9]: 17.127501, 4189051F
[6][10]: 18.127501, 4191051F
[6][11]: 19.127501, 4199051F
[6][12]: 20.127501, 41A1051F
[6][13]: 21.127501, 41A9051F
[6][14]: 22.127501, 41B1051F
[6][15]: 23.127501, 41B9051F
[6][16]: 24.127501, 41C1051F
[6][17]: 25.127501, 41C9051F
[6][18]: 26.127501, 41D1051F
[6][19]: 27.127501, 41D9051F
[6][20]: 28.127501, 41E1051F
[6][21]: 29.127501, 41E9051F
[6][22]: 30.127501, 41F1051F
[6][23]: 31.127501, 41F9051F
[6][24]: 32.127499, 4200828F
[6][25]: 33.127499, 4204828F
[6][26]: 34.127499, 4208828F
[6][27]: 35.127499, 420C828F
[6][28]: 36.127499, 4210828F
[6][29]: 37.127499, 4214828F
[6][30]: 38.127499, 4218828F
[6][31]: 39.127499, 421C828F
[7][0]: 9.127500, 41120A3D
[7][1]: 10.127500, 41220A3D
[7][2]: 11.127500, 41320A3D
[7][3]: 12.127500, 41420A3D
[7][4]: 13.127500, 41520A3D
[7][5]: 14.127500, 41620A3D
[7][6]: 15.127500, 41720A3D
[7][7]: 16.127501, 4181051F
[7][8]: 17.127501, 4189051F
[7][9]: 18.127501, 4191051F
[7][10]: 19.127501, 4199051F
[7][11]: 20.127501, 41A1051F
[7][12]: 21.127501, 41A9051F
[7][13]: 22.127501, 41B1051F
[7][14]: 23.127501, 41B9051F
[7][15]: 24.127501, 41C1051F
[7][16]: 25.127501, 41C9051F
[7][17]: 26.127501, 41D1051F
[7][18]: 27.127501, 41D9051F
[7][19]: 28.127501, 41E1051F
[7][20]: 29.127501, 41E9051F
[7][21]: 30.127501, 41F1051F
[7][22]: 31.127501, 41F9051F
[7][23]: 32.127499, 4200828F
[7][24]: 33.127499, 4204828F
[7][25]: 34.127499, 4208828F
[7][26]: 35.127499, 420C828F
[7][27]: 36.127499, 4210828F
[7][28]: 37.127499, 4214828F
[7][29]: 38.127499, 4218828F
[7][30]: 39.127499, 421C828F
[7][31]: 40.127499, 4220828F
[8][0]: 10.127500, 41220A3D
[8][1]: 11.127500, 41320A3D
[8][2]: 12.127500, 41420A3D
[8][3]: 13.127500, 41520A3D
[8][4]: 14.127500, 41620A3D
[8][5]: 15.127500, 41720A3D
[8][6]: 16.127501, 4181051F
[8][7]: 17.127501, 4189051F
[8][8]: 18.127501, 4191051F
[8][9]: 19.127501, 4199051F
[8][10]: 20.127501, 41A1051F
[8][11]: 21.127501, 41A9051F
[8][12]: 22.127501, 41B1051F
[8][13]: 23.127501, 41B9051F
[8][14]: 24.127501, 41C1051F
[8][15]: 25.127501, 41C9051F
[8][16]: 26.127501, 41D1051F
[8][17]: 27.127501, 41D9051F
[8][18]: 28.127501, 41E1051F
[8][19]: 29.127501, 41E9051F
[8][20]: 30.127501, 41F1051F
[8][21]: 31.127501, 41F9051F
[8][22]: 32.127499, 4200828F
[8][23]: 33.127499, 4204828F
[8][24]: 34.127499, 4208828F
[8][25]: 35.127499, 420C828F
[8][26]: 36.127499, 4210828F
[8][27]: 37.127499, 4214828F
[8][28]: 38.127499, 4218828F
[8][29]: 39.127499, 421C828F
[8][30]: 40.127499, 4220828F
[8][31]: 41.127499, 4224828F
[9][0]: 11.127500, 41320A3D
[9][1]: 12.127500, 41420A3D
[9][2]: 13.127500, 41520A3D
[9][3]: 14.127500, 41620A3D
[9][4]: 15.127500, 41720A3D
[9][5]: 16.127501, 4181051F
[9][6]: 17.127501, 4189051F
[9][7]: 18.127501, 4191051F
[9][8]: 19.127501, 4199051F
[9][9]: 20.127501, 41A1051F
[9][10]: 21.127501, 41A9051F
[9][11]: 22.127501, 41B1051F
[9][12]: 23.127501, 41B9051F
[9][13]: 24.127501, 41C1051F
[9][14]: 25.127501, 41C9051F
[9][15]: 26.127501, 41D1051F
[9][16]: 27.127501, 41D9051F
[9][17]: 28.127501, 41E1051F
[9][18]: 29.127501, 41E9051F
[9][19]: 30.127501, 41F1051F
[9][20]: 31.127501, 41F9051F
[9][21]: 32.127499, 4200828F
[9][22]: 33.127499, 4204828F
[9][23]: 34.127499, 4208828F
[9][24]: 35.127499, 420C828F
[9][25]: 36.127499, 4210828F
[9][26]: 37.127499, 4214828F
[9][27]: 38.127499, 4218828F
[9][28]: 39.127499, 421C828F
[9][29]: 40.127499, 4220828F
[9][30]: 41.127499, 4224828F
[9][31]: 42.127499, 4228828F
[10][0]: 12.127500, 41420A3D
[10][1]: 13.127500, 41520A3D
[10][2]: 14.127500, 41620A3D
[10][3]: 15.127500, 41720A3D
[10][4]: 16.127501, 4181051F
[10][5]: 17.127501, 4189051F
[10][6]: 18.127501, 4191051F
[10][7]: 19.127501, 4199051F
[10][8]: 20.127501, 41A1051F
[10][9]: 21.127501, 41A9051F
[10][10]: 22.127501, 41B1051F
[10][11]: 23.127501, 41B9051F
[10][12]: 24.127501, 41C1051F
[10][13]: 25.127501, 41C9051F
[10][14]: 26.127501, 41D1051F
[10][15]: 27.127501, 41D9051F
[10][16]: 28.127501, 41E1051F
[10][17]: 29.127501, 41E9051F
[10][18]: 30.127501, 41F1051F
[10][19]: 31.127501, 41F9051F
[10][20]: 32.127499, 4200828F
[10][21]: 33.127499, 4204828F
[10][22]: 34.127499, 4208828F
[10][23]: 35.127499, 420C828F
[10][24]: 36.127499, 4210828F
[10][25]: 37.127499, 4214828F
[10][26]: 38.127499, 4218828F
[10][27]: 39.127499, 421C828F
[10][28]: 40.127499, 4220828F
[10][29]: 41.127499, 4224828F
[10][30]: 42.127499, 4228828F
[10][31]: 43.127499, 422C828F
[11][0]: 13.127500, 41520A3D
[11][1]: 14.127500, 41620A3D
[11][2]: 15.127500, 41720A3D
[11][3]: 16.127501, 4181051F
[11][4]: 17.127501, 4189051F
[11][5]: 18.127501, 4191051F
[11][6]: 19.127501, 4199051F
[11][7]: 20.127501, 41A1051F
[11][8]: 21.127501, 41A9051F
[11][9]: 22.127501, 41B1051F
[11][10]: 23.127501, 41B9051F
[11][11]: 24.127501, 41C1051F
[11][12]: 25.127501, 41C9051F
[11][13]: 26.127501, 41D1051F
[11][14]: 27.127501, 41D9051F
[11][15]: 28.127501, 41E1051F
[11][16]: 29.127501, 41E9051F
[11][17]: 30.127501, 41F1051F
[11][18]: 31.127501, 41F9051F
[11][19]: 32.127499, 4200828F
[11][20]: 33.127499, 4204828F
[11][21]: 34.127499, 4208828F
[11][22]: 35.127499, 420C828F
[11][23]: 36.127499, 4210828F
[11][24]: 37.127499, 4214828F
[11][25]: 38.127499, 4218828F
[11][26]: 39.127499, 421C828F
[11][27]: 40.127499, 4220828F
[11][28]: 41.127499, 4224828F
[11][29]: 42.127499, 4228828F
[11][30]: 43.127499, 422C828F
[11][31]: 44.127499, 4230828F
[12][0]: 14.127500, 41620A3D
[12][1]: 15.127500, 41720A3D
[12][2]: 16.127501, 4181051F
[12][3]: 17.127501, 4189051F
[12][4]: 18.127501, 4191051F
[12][5]: 19.127501, 4199051F
[12][6]: 20.127501, 41A1051F
[12][7]: 21.127501, 41A9051F
[12][8]: 22.127501, 41B1051F
[12][9]: 23.127501, 41B9051F
[12][10]: 24.127501, 41C1051F
[12][11]: 25.127501, 41C9051F
[12][12]: 26.127501, 41D1051F
[12][13]: 27.127501, 41D9051F
[12][14]: 28.127501, 41E1051F
[12][15]: 29.127501, 41E9051F
[12][16]: 30.127501, 41F1051F
[12][17]: 31.127501, 41F9051F
[12][18]: 32.127499, 4200828F
[12][19]: 33.127499, 4204828F
[12][20]: 34.127499, 4208828F
[12][21]: 35.127499, 420C828F
[12][22]: 36.127499, 4210828F
[12][23]: 37.127499, 4214828F
[12][24]: 38.127499, 4218828F
[12][25]: 39.127499, 421C828F
[12][26]: 40.127499, 4220828F
[12][27]: 41.127499, 4224828F
[12][28]: 42.127499, 4228828F
[12][29]: 43.127499, 422C828F
[12][30]: 44.127499, 4230828F
[12][31]: 45.127499, 4234828F
[13][0]: 15.127500, 41720A3D
[13][1]: 16.127501, 4181051F
[13][2]: 17.127501, 4189051F
[13][3]: 18.127501, 4191051F
[13][4]: 19.127501, 4199051F
[13][5]: 20.127501, 41A1051F
[13][6]: 21.127501, 41A9051F
[13][7]: 22.127501, 41B1051F
[13][8]: 23.127501, 41B9051F
[13][9]: 24.127501, 41C1051F
[13][10]: 25.127501, 41C9051F
[13][11]: 26.127501, 41D1051F
[13][12]: 27.127501, 41D9051F
[13][13]: 28.127501, 41E1051F
[13][14]: 29.127501, 41E9051F
[13][15]: 30.127501, 41F1051F
[13][16]: 31.127501, 41F9051F
[13][17]: 32.127499, 4200828F
[13][18]: 33.127499, 4204828F
[13][19]: 34.127499, 4208828F
[13][20]: 35.127499, 420C828F
[13][21]: 36.127499, 4210828F
[13][22]: 37.127499, 4214828F
[13][23]: 38.127499, 4218828F
[13][24]: 39.127499, 421C828F
[13][25]: 40.127499, 4220828F
[13][26]: 41.127499, 4224828F
[13][27]: 42.127499, 4228828F
[13][28]: 43.127499, 422C828F
[13][29]: 44.127499, 4230828F
[13][30]: 45.127499, 4234828F
[13][31]: 46.127499, 4238828F
[14][0]: 16.127501, 4181051F
[14][1]: 17.127501, 4189051F
[14][2]: 18.127501, 4191051F
[14][3]: 19.127501, 4199051F
[14][4]: 20.127501, 41A1051F
[14][5]: 21.127501, 41A9051F
[14][6]: 22.127501, 41B1051F
[14][7]: 23.127501, 41B9051F
[14][8]: 24.127501, 41C1051F
[14][9]: 25.127501, 41C9051F
[14][10]: 26.127501, 41D1051F
[14][11]: 27.127501, 41D9051F
[14][12]: 28.127501, 41E1051F
[14][13]: 29.127501, 41E9051F
[14][14]: 30.127501, 41F1051F
[14][15]: 31.127501, 41F9051F
[14][16]: 32.127499, 4200828F
[14][17]: 33.127499, 4204828F
[14][18]: 34.127499, 4208828F
[14][19]: 35.127499, 420C828F
[14][20]: 36.127499, 4210828F
[14][21]: 37.127499, 4214828F
[14][22]: 38.127499, 4218828F
[14][23]: 39.127499, 421C828F
[14][24]: 40.127499, 4220828F
[14][25]: 41.127499, 4224828F
[14][26]: 42.127499, 4228828F
[14][27]: 43.127499, 422C828F
[14][28]: 44.127499, 4230828F
[14][29]: 45.127499, 4234828F
[14][30]: 46.127499, 4238828F
[14][31]: 47.127499, 423C828F
[15][0]: 17.127501, 4189051F
[15][1]: 18.127501, 4191051F
[15][2]: 19.127501, 4199051F
[15][3]: 20.127501, 41A1051F
[15][4]: 21.127501, 41A9051F
[15][5]: 22.127501, 41B1051F
[15][6]: 23.127501, 41B9051F
[15][7]: 24.127501, 41C1051F
[15][8]: 25.127501, 41C9051F
[15][9]: 26.127501, 41D1051F
[15][10]: 27.127501, 41D9051F
[15][11]: 28.127501, 41E1051F
[15][12]: 29.127501, 41E9051F
[15][13]: 30.127501, 41F1051F
[15][14]: 31.127501, 41F9051F
[15][15]: 32.127499, 4200828F
[15][16]: 33.127499, 4204828F
[15][17]: 34.127499, 4208828F
[15][18]: 35.127499, 420C828F
[15][19]: 36.127499, 4210828F
[15][20]: 37.127499, 4214828F
[15][21]: 38.127499, 4218828F
[15][22]: 39.127499, 421C828F
[15][23]: 40.127499, 4220828F
[15][24]: 41.127499, 4224828F
[15][25]: 42.127499, 4228828F
[15][26]: 43.127499, 422C828F
[15][27]: 44.127499, 4230828F
[15][28]: 45.127499, 4234828F
[15][29]: 46.127499, 4238828F
[15][30]: 47.127499, 423C828F
[15][31]: 48.127499, 4240828F
[16][0]: 18.127501, 4191051F
[16][1]: 19.127501, 4199051F
[16][2]: 20.127501, 41A1051F
[16][3]: 21.127501, 41A9051F
[16][4]: 22.127501, 41B1051F
[16][5]: 23.127501, 41B9051F
[16][6]: 24.127501, 41C1051F
[16][7]: 25.127501, 41C9051F
[16][8]: 26.127501, 41D1051F
[16][9]: 27.127501, 41D9051F
[16][10]: 28.127501, 41E1051F
[16][11]: 29.127501, 41E9051F
[16][12]: 30.127501, 41F1051F
[16][13]: 31.127501, 41F9051F
[16][14]: 32.127499, 4200828F
[16][15]: 33.127499, 4204828F
[16][16]: 34.127499, 4208828F
[16][17]: 35.127499, 420C828F
[16][18]: 36.127499, 4210828F
[16][19]: 37.127499, 4214828F
[16][20]: 38.127499, 4218828F
